{'nodes': 160, 'beta-norm': 10, 'epochs': 50, 'train-mse': 131.8125, 'train-mse-bal': 22.391956329345703, 'majority-mse': 140.01307678222656, 'minority-mse': 131.81747436523438, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 5.089478015899658, 'train-mse-bal': 0.8614162802696228, 'majority-mse': 6.1662373542785645, 'minority-mse': 9.971031188964844, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 10, 'epochs': 50, 'train-mse': 16.09064483642578, 'train-mse-bal': 2.9063024520874023, 'majority-mse': 17.62613296508789, 'minority-mse': 16.474992752075195, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 2.3647360801696777, 'train-mse-bal': 0.364996999502182, 'majority-mse': 3.6729114055633545, 'minority-mse': 11.866877555847168, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 10, 'epochs': 50, 'train-mse': 4.771013259887695, 'train-mse-bal': 0.8907305002212524, 'majority-mse': 5.495298385620117, 'minority-mse': 6.70436954498291, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 0.9063012599945068, 'train-mse-bal': 0.11716345697641373, 'majority-mse': 2.3541452884674072, 'minority-mse': 14.966066360473633, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 10, 'epochs': 50, 'train-mse': 4.272940635681152, 'train-mse-bal': 0.78484708070755, 'majority-mse': 4.871648788452148, 'minority-mse': 6.559354305267334, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 10, 'epochs': 5000, 'train-mse': 0.11684600263834, 'train-mse-bal': 0.02052069455385208, 'majority-mse': 1.4740678071975708, 'minority-mse': 16.602548599243164, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 5, 'epochs': 50, 'train-mse': 99.95207977294922, 'train-mse-bal': 18.235700607299805, 'majority-mse': 102.41819763183594, 'minority-mse': 105.42581176757812, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 5, 'epochs': 5000, 'train-mse': 37.661067962646484, 'train-mse-bal': 5.9794793128967285, 'majority-mse': 38.54772186279297, 'minority-mse': 38.596126556396484, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 5, 'epochs': 50, 'train-mse': 54.300357818603516, 'train-mse-bal': 9.6384916305542, 'majority-mse': 54.77763748168945, 'minority-mse': 66.14307403564453, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 5, 'epochs': 5000, 'train-mse': 12.403642654418945, 'train-mse-bal': 2.233466148376465, 'majority-mse': 11.529882431030273, 'minority-mse': 15.97375202178955, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 5, 'epochs': 50, 'train-mse': 11.460235595703125, 'train-mse-bal': 1.835494041442871, 'majority-mse': 12.060152053833008, 'minority-mse': 11.458102226257324, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 5, 'epochs': 5000, 'train-mse': 4.027932643890381, 'train-mse-bal': 0.6878054738044739, 'majority-mse': 4.653644561767578, 'minority-mse': 9.422179222106934, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 5, 'epochs': 50, 'train-mse': 4.633942127227783, 'train-mse-bal': 0.8609635233879089, 'majority-mse': 5.145498752593994, 'minority-mse': 6.9722442626953125, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 5, 'epochs': 5000, 'train-mse': 2.408839225769043, 'train-mse-bal': 0.3782259523868561, 'majority-mse': 3.5843188762664795, 'minority-mse': 12.693280220031738, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 5, 'epochs': 50, 'train-mse': 4.214688777923584, 'train-mse-bal': 0.7650350332260132, 'majority-mse': 4.730792999267578, 'minority-mse': 6.954033851623535, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 5, 'epochs': 5000, 'train-mse': 0.9272085428237915, 'train-mse-bal': 0.118667371571064, 'majority-mse': 2.405608654022217, 'minority-mse': 16.422718048095703, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 5, 'epochs': 50, 'train-mse': 4.144869327545166, 'train-mse-bal': 0.7305969595909119, 'majority-mse': 4.663147926330566, 'minority-mse': 7.169473171234131, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 5, 'epochs': 5000, 'train-mse': 0.13148073852062225, 'train-mse-bal': 0.022504428401589394, 'majority-mse': 1.6153581142425537, 'minority-mse': 18.3381404876709, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 1, 'epochs': 50, 'train-mse': 7.1090474128723145, 'train-mse-bal': 1.2704026699066162, 'majority-mse': 6.919015407562256, 'minority-mse': 7.167003154754639, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 5.31061315536499, 'train-mse-bal': 1.1048896312713623, 'majority-mse': 4.9614644050598145, 'minority-mse': 8.679665565490723, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 1, 'epochs': 50, 'train-mse': 4.958728790283203, 'train-mse-bal': 0.9256836175918579, 'majority-mse': 4.707765102386475, 'minority-mse': 6.311827182769775, 'trainable': 'last-layer'}
{'nodes': 40, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 4.932805061340332, 'train-mse-bal': 0.8883638381958008, 'majority-mse': 4.893620491027832, 'minority-mse': 6.429306507110596, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 1, 'epochs': 50, 'train-mse': 4.553146839141846, 'train-mse-bal': 0.8338132500648499, 'majority-mse': 4.423620700836182, 'minority-mse': 5.985128402709961, 'trainable': 'last-layer'}
{'nodes': 160, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 3.976891040802002, 'train-mse-bal': 0.6834409236907959, 'majority-mse': 4.479264259338379, 'minority-mse': 8.259934425354004, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 1, 'epochs': 50, 'train-mse': 4.416872024536133, 'train-mse-bal': 0.8024015426635742, 'majority-mse': 4.40146541595459, 'minority-mse': 6.083518028259277, 'trainable': 'last-layer'}
{'nodes': 640, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 2.5105409622192383, 'train-mse-bal': 0.3990395665168762, 'majority-mse': 3.3591527938842773, 'minority-mse': 11.016965866088867, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 1, 'epochs': 50, 'train-mse': 4.3231730461120605, 'train-mse-bal': 0.7800418138504028, 'majority-mse': 4.412230491638184, 'minority-mse': 6.324709892272949, 'trainable': 'last-layer'}
{'nodes': 2560, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 1.0923607349395752, 'train-mse-bal': 0.14271125197410583, 'majority-mse': 2.3843631744384766, 'minority-mse': 14.662847518920898, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 1, 'epochs': 50, 'train-mse': 4.168680191040039, 'train-mse-bal': 0.751499593257904, 'majority-mse': 4.319713115692139, 'minority-mse': 6.641878604888916, 'trainable': 'last-layer'}
{'nodes': 10240, 'beta-norm': 1, 'epochs': 5000, 'train-mse': 0.18323244154453278, 'train-mse-bal': 0.02695864997804165, 'majority-mse': 1.5255929231643677, 'minority-mse': 15.935705184936523, 'trainable': 'last-layer'}
{'nodes': 10, 'beta-norm': 1, 'epochs': 50, 'train-mse': 4.859071254730225, 'train-mse-bal': 1.2432283163070679, 'majority-mse': 4.304160118103027, 'minority-mse': 9.384562492370605, 'trainable': 'last-layer'}
